Id_x,TweetId,Url,ExpandedUrl_x,DisplayUrl,UserId,NewsId,ExpandedUrl_y,ShortUrl,SourceUrl
1950807,10845253804228608,http://bbc.in/fwW7Yt,http://bbc.in/fwW7Yt,http://bbc.in/fwW7Yt,742143,27165,http://bbc.in/fwW7Yt,http://bbc.in/fwW7Yt,http://bbc.in
1950830,11028436462084098,http://tl.gd/7a4s46,http://tl.gd/7a4s46,http://tl.gd/7a4s46,181127761,27171,http://tl.gd/7a4s46,http://tl.gd/7a4s46,http://tl.gd
1950931,11028731715919872,http://tl.gd/7a4smg,http://tl.gd/7a4smg,http://tl.gd/7a4smg,138535568,27186,http://tl.gd/7a4smg,http://tl.gd/7a4smg,http://tl.gd
1950999,11028998490431488,http://tl.gd/7a4t8a,http://tl.gd/7a4t8a,http://tl.gd/7a4t8a,60472240,27196,http://tl.gd/7a4t8a,http://tl.gd/7a4t8a,http://tl.gd
1951012,11029027364016128,http://is.gd/ibKtY,http://is.gd/ibKtY,http://is.gd/ibKtY,21478415,27200,http://is.gd/ibKtY,http://is.gd/ibKtY,http://is.gd
1951047,11029258445000704,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,79896423,27205,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,http://bit.ly
1951083,11029358315573248,http://tl.gd/7a4tvc,http://tl.gd/7a4tvc,http://tl.gd/7a4tvc,138535568,27210,http://tl.gd/7a4tvc,http://tl.gd/7a4tvc,http://tl.gd
1951118,11029461516427264,http://is.gd/ibKAO,http://is.gd/ibKAO,http://is.gd/ibKAO,21478415,27216,http://is.gd/ibKAO,http://is.gd/ibKAO,http://is.gd
1951119,11029461516427264,http://yfrog.com/gofyu0j,http://yfrog.com/gofyu0j,http://yfrog.com/gofyu0j,21478415,27217,http://yfrog.com/gofyu0j,http://yfrog.com/gofyu0j,http://yfrog.com
1951155,11029499663622145,http://bit.ly/i9Q7SZ,http://bit.ly/i9Q7SZ,http://bit.ly/i9Q7SZ,103415179,27220,http://bit.ly/i9Q7SZ,http://bit.ly/i9Q7SZ,http://bit.ly
1951364,11029986584559616,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,46127527,27205,http://bit.ly/dE0VFU,http://bit.ly/dE0VFU,http://bit.ly
1951371,11030040892407809,http://tl.gd/7a4vda,http://tl.gd/7a4vda,http://tl.gd/7a4vda,60472240,27237,http://tl.gd/7a4vda,http://tl.gd/7a4vda,http://tl.gd
1951389,11030120533860352,http://is.gd/ibKZu,http://is.gd/ibKZu,http://is.gd/ibKZu,21478415,27241,http://is.gd/ibKZu,http://is.gd/ibKZu,http://is.gd
1951438,11030223260745728,http://is.gd/ibKZu,http://is.gd/ibKZu,http://is.gd/ibKZu,21478415,27241,http://is.gd/ibKZu,http://is.gd/ibKZu,http://is.gd
1951439,11030223260745728,http://yfrog.com/ng8e40j,http://yfrog.com/ng8e40j,http://yfrog.com/ng8e40j,21478415,27245,http://yfrog.com/ng8e40j,http://yfrog.com/ng8e40j,http://yfrog.com
1951552,11030485488635904,http://is.gd/ibLgM,http://is.gd/ibLgM,http://is.gd/ibLgM,21478415,27249,http://is.gd/ibLgM,http://is.gd/ibLgM,http://is.gd
1951589,11004692083515392,http://bbc.in/gy487d,http://bbc.in/gy487d,http://bbc.in/gy487d,742143,27250,http://bbc.in/gy487d,http://bbc.in/gy487d,http://bbc.in
