"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
19;3077705247494144;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
20;3068895317458944;"http://bbc.in/clhfod";34;54;2;"http://bbc.in/clhfod";"http://www.bbc.co.uk/news/world-africa-11742469?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/clhfod";"";"";0;"";"";"";""
21;3077721705947136;"http://bbc.in/clhfod";48;68;2;"http://bbc.in/clhfod";"http://www.bbc.co.uk/news/world-africa-11742469?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/clhfod";"";"";0;"";"";"";""
22;3077721705947136;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
24;3077937448361984;"http://bbc.in/c13bJa";48;68;2;"http://bbc.in/c13bJa";"http://www.bbc.co.uk/news/world-africa-11743454?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/c13bJa";"";"";0;"";"";"";""
25;3077937448361984;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
26;3053486396669952;"http://bbc.in/9kmBDX";33;53;2;"http://bbc.in/9kmBDX";"http://www.bbc.co.uk/news/entertainment-arts-11741823?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9kmBDX";"";"";0;"";"";"";""
27;3077973565513729;"http://bbc.in/9kmBDX";47;67;2;"http://bbc.in/9kmBDX";"http://www.bbc.co.uk/news/entertainment-arts-11741823?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9kmBDX";"";"";0;"";"";"";""
28;3077973565513729;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
29;3076113764982786;"http://nyti.ms/ctKSA3";72;93;2;"http://nyti.ms/ctKSA3";"http://www.nytimes.com/2010/11/13/arts/13iht-scmoscow.html?src=twt&twt=nytimesarts";"http://nyti.ms/ctKSA3";"";"";0;"";"";"";""
30;3078146026901504;"http://nyti.ms/ctKSA3";89;110;2;"http://nyti.ms/ctKSA3";"http://www.nytimes.com/2010/11/13/arts/13iht-scmoscow.html?src=twt&twt=nytimesarts";"http://nyti.ms/ctKSA3";"";"";0;"";"";"";""
31;3078146026901504;"nytimesarts";3;15;3;"";"";"";"NYTimes Arts";"nytimesarts";1440641;"";"";"";""
32;3072637689401344;"http://bbc.in/aXY9Le";34;54;2;"http://bbc.in/aXY9Le";"http://news.bbc.co.uk/sport2/hi/football/teams/m/man_city/9184225.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aXY9Le";"";"";0;"";"";"";""
33;3078713725952001;"http://bbc.in/aXY9Le";48;68;2;"http://bbc.in/aXY9Le";"http://news.bbc.co.uk/sport2/hi/football/teams/m/man_city/9184225.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aXY9Le";"";"";0;"";"";"";""
34;3078713725952001;"BBCSport";3;12;3;"";"";"";"BBC Sport";"BBCSport";110379542;"";"";"";""
36;3078727281942528;"http://bbc.in/9lo2HJ";48;68;2;"http://bbc.in/9lo2HJ";"http://www.bbc.co.uk/news/world-europe-11741964?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9lo2HJ";"";"";0;"";"";"";""
37;3078727281942528;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
38;3072634967293954;"http://bbc.in/c47W34";18;38;2;"http://bbc.in/c47W34";"http://news.bbc.co.uk/sport2/hi/football/eng_prem/9180667.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/c47W34";"";"";0;"";"";"";""
39;3078730960347136;"http://bbc.in/c47W34";32;52;2;"http://bbc.in/c47W34";"http://news.bbc.co.uk/sport2/hi/football/eng_prem/9180667.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/c47W34";"";"";0;"";"";"";""
40;3078730960347136;"BBCSport";3;12;3;"";"";"";"BBC Sport";"BBCSport";110379542;"";"";"";""
42;3078740686934017;"http://bbc.in/clhfod";48;68;2;"http://bbc.in/clhfod";"http://www.bbc.co.uk/news/world-africa-11742469?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/clhfod";"";"";0;"";"";"";""
43;3078740686934017;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
44;3067048078868480;"http://nyti.ms/b1NoSj";45;66;2;"http://nyti.ms/b1NoSj";"http://www.nytimes.com/2010/11/13/world/asia/13myanmar.html?src=twt&twt=nytimes";"http://nyti.ms/b1NoSj";"";"";0;"";"";"";""
45;3078754511355904;"http://nyti.ms/b1NoSj";58;79;2;"http://nyti.ms/b1NoSj";"http://www.nytimes.com/2010/11/13/world/asia/13myanmar.html?src=twt&twt=nytimes";"http://nyti.ms/b1NoSj";"";"";0;"";"";"";""
46;3078754511355904;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
47;3061240381313024;"http://bbc.in/9LpT4n";33;53;2;"http://bbc.in/9LpT4n";"http://www.bbc.co.uk/news/world-europe-11742042?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9LpT4n";"";"";0;"";"";"";""
48;3078823801266176;"http://bbc.in/9LpT4n";47;67;2;"http://bbc.in/9LpT4n";"http://www.bbc.co.uk/news/world-europe-11742042?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9LpT4n";"";"";0;"";"";"";""
49;3078823801266176;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
50;3053484966420481;"http://bbc.in/bXgKAU";32;52;2;"http://bbc.in/bXgKAU";"http://www.bbc.co.uk/news/world-africa-11743807?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/bXgKAU";"";"";0;"";"";"";""
