"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
3362;3517267736268801;"http://bbc.in/aBD6gY";48;68;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3363;3517267736268801;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3365;3517337726615553;"http://bbc.in/aBD6gY";48;68;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3366;3517337726615553;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3369;3517403661074433;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3370;3517403661074433;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3371;3517403661074433;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3373;3517891450241026;"http://bbc.in/98k9t4";47;67;2;"http://bbc.in/98k9t4";"http://www.bbc.co.uk/news/world-europe-11751065?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/98k9t4";"";"";0;"";"";"";""
3374;3517891450241026;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3377;3518206689943552;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3378;3518206689943552;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3379;3518206689943552;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
3381;3518699222863873;"http://bbc.in/aBD6gY";48;68;2;"http://bbc.in/aBD6gY";"http://www.bbc.co.uk/news/world-us-canada-11751202?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/aBD6gY";"";"";0;"";"";"";""
3382;3518699222863873;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3383;3515726279213056;"http://bbc.in/a0ejBL";91;111;2;"http://bbc.in/a0ejBL";"http://news.bbc.co.uk/sport2/hi/rugby_union/9186993.stm";"http://bbc.in/a0ejBL";"";"";0;"";"";"";""
3384;3518845046235136;"http://bbc.in/a0ejBL";112;132;2;"http://bbc.in/a0ejBL";"http://news.bbc.co.uk/sport2/hi/rugby_union/9186993.stm";"http://bbc.in/a0ejBL";"";"";0;"";"";"";""
3385;3518845046235136;"bbcsport_ticker";3;19;3;"";"";"";"BBC Sport Breaking";"bbcsport_ticker";123667383;"";"";"";""
3388;3518900285218816;"http://on.cnn.com/9RjWCc";91;115;2;"http://on.cnn.com/9RjWCc";"http://www.cnn.com/2010/SHOWBIZ/celebrity.news.gossip/11/13/gabor.goes.home/index.html";"http://on.cnn.com/9RjWCc";"";"";0;"";"";"";""
3389;3518900285218816;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
3390;3518900285218816;"ZsaZsaGabor";12;24;4;"";"";"";"";"";0;"";"";"";""
